Уровень,Количество учеников,Количество отзывов,Средняя оценка,Наличие сертификата,"Цена, ₽",Количество уроков,"Длительность уроков, ч"
0.0,0.002342118826931309,0.00039140858163315233,0.6599999999999999,no,0.0,0.015657620041753653,0.013333333333333334
0.0,3.057596379805886e-05,0.0,0.0,no,0.040836736394699556,0.5292275574112735,0.09777777777777778
0.0,5.32895369051883e-05,0.0,0.0,no,0.040836736394699556,0.27348643006263046,0.2222222222222222
0.0,5.241593793952948e-05,0.0,0.0,no,0.045820485040420036,0.36430062630480164,0.21333333333333335
0.0,4.455354724860006e-05,0.0,0.0,no,0.08334027835652971,0.6805845511482255,0.09333333333333334
0.5,0.00020092776210152967,4.892607270414404e-05,1.0,yes,0.04917076423035253,0.151356993736952,0.057777777777777775
1.0,0.010842236762791673,0.06350604236997896,1.0,yes,0.0575047920660055,0.07933194154488518,0.0
0.0,0.00034943958626352986,0.0016634864719408972,0.9800000000000001,yes,0.032502708559046585,0.09081419624217119,0.02666666666666667
0.0,0.004501655470039924,0.027936787514066246,1.0,yes,0.040836736394699556,0.05845511482254697,0.022222222222222223
0.0,0.07138351868191388,0.04070649248984784,1.0,yes,0.0,0.055323590814196244,0.017777777777777778
0.0,0.002399776358664791,0.006556093742355301,0.9800000000000001,yes,0.020835069589132428,0.08872651356993737,0.07555555555555556
0.5,0.005077357188409089,0.023337736679876705,0.9800000000000001,yes,0.0575047920660055,0.05219206680584551,0.0
0.5,0.012482855620298945,0.027202896423504087,0.9800000000000001,yes,0.025002083506958914,0.03653444676409186,0.03111111111111111
0.5,0.0035013846543605694,0.006507167669651157,0.9800000000000001,yes,0.03750312526043837,0.0720250521920668,0.0
0.0,0.0028881181804680744,0.0031801947257693625,0.9800000000000001,yes,0.040836736394699556,0.10960334029227557,0.04
0.5,0.0037783155264744166,0.007534615196438182,0.96,yes,0.024335361280106677,0.037578288100208766,0.013333333333333334
0.5,0.0023630852021071205,0.005430794070159988,0.9400000000000001,yes,0.03750312526043837,0.08559498956158663,0.0
0.0,0.0004298106911041417,0.0010763735994911688,0.9199999999999999,yes,0.040836736394699556,0.1617954070981211,0.05333333333333334
0.0,0.00027867807004516507,0.0011252996721953128,1.0,yes,0.016668055671305942,0.021920668058455117,0.035555555555555556
0.0,0.0002620796896976474,0.0,0.0,no,0.018326527210600883,0.22233820459290188,0.1688888888888889
0.5,0.001509579012658449,0.0011742257448994569,1.0,no,0.058088174014501205,0.13987473903966596,0.13777777777777778
0.0,0.00011269426656998838,0.0001467782181124321,1.0,yes,0.20835069589132427,0.10438413361169102,0.044444444444444446
0.5,0.001131310660528178,0.0031312686530652186,1.0,yes,0.016418034836236352,0.024008350730688934,0.0
0.0,0.0004411674776577065,0.0,0.0,no,0.018326527210600883,0.4801670146137787,0.3111111111111111
0.0,0.0004996986083568477,0.0006360389451538725,0.9800000000000001,yes,0.19168264022001832,0.03444676409185804,0.07555555555555556
0.0,0.001076273925691672,0.002397377562503058,0.96,yes,0.02499374947912326,0.3079331941544885,0.0
0.5,0.00029877084625531806,0.0010274475267870247,0.96,yes,0.016418034836236352,0.017745302713987474,0.0
0.0,0.003227948178109357,0.024414110279367875,1.0,yes,0.012501041753479457,0.018789144050104383,0.0
0.0,0.0017078859778630023,0.006311463378834581,1.0,yes,0.020751729310775898,0.008350730688935281,0.02666666666666667
0.5,3.232316172937651e-05,0.0001467782181124321,1.0,yes,0.04158679889990832,0.07306889352818371,0.0
0.0,0.0019158025316898025,0.00508831156123098,1.0,yes,0.007417284773731144,0.027139874739039668,0.0
0.5,1.6598380347517668e-05,0.0001467782181124321,1.0,yes,0.33252771064255354,0.03966597077244259,0.0
0.0,0.007534791078807362,0.0021038211262781937,1.0,yes,0.02749395782981915,0.08872651356993737,0.04888888888888889
0.0,0.0008535061894486717,0.0008806693086745927,0.9800000000000001,yes,0.03750312526043837,0.07933194154488518,0.0
0.5,0.00018957097554796496,0.001223151817603601,1.0,yes,0.008334027835652971,0.030271398747390398,0.0
0.0,0.00017908778796005905,0.00044033465433729633,1.0,yes,0.02499374947912326,0.0511482254697286,0.0
0.5,1.8345578278835317e-05,4.892607270414404e-05,1.0,no,0.07500625052087674,0.07306889352818371,0.02666666666666667
0.5,1.1356786553564721e-05,9.785214540828808e-05,0.9,no,0.016668055671305942,0.030271398747390398,0.008888888888888889
0.5,0.0005442521556054477,0.0009295953813787367,1.0,yes,0.020826735561296775,0.08037578288100208,0.0
0.0,0.00020704295486114144,0.0001467782181124321,1.0,yes,0.041670139178264856,0.5229645093945721,0.22666666666666666
0.5,0.0003581755759201181,0.0002935564362248642,0.9,yes,0.02499374947912326,0.18058455114822547,0.0
0.0,0.002670592038019027,0.0035226772346983706,1.0,yes,0.019168264022001835,0.23903966597077245,0.2222222222222222
0.0,2.7081567935423564e-05,0.0,0.0,no,0.027502291857654803,0.4394572025052192,0.21333333333333335
0.0,0.0022643685189876737,0.008415284505112775,1.0,yes,0.024918743228602384,0.015657620041753653,0.06222222222222222
0.0,0.002515965021097415,0.002886638289544498,1.0,yes,0.045820485040420036,0.09290187891440502,0.08888888888888889
0.5,0.0018048554630511317,0.002397377562503058,1.0,yes,0.06456371364280357,0.16805845511482254,0.13333333333333333
0.0,0.0009198997108387423,0.0019081168354616175,1.0,yes,0.027502291857654803,0.15657620041753653,0.08444444444444445
